,0,1,2
0,https://video.o6hff.com/wQWLwG12,"Facebook, Inc.",19:31:02
1,https://colsominsas.com/mmVauth2Y./officev4/access.php,Outlook,19:30:36
2,https://bmo.bankofmontreal.repl.co/mobil/index.html,Bank of Montreal,19:30:34
3,http://mobilformonaydeniden.top/,Deniz Bank,19:30:31
4,https://vrgllc.org/epbotp1o/,Tencent,19:30:30
5,https://recentcyanmineral.atlanverificar.repl.co/index3.html,Generic/Spear Phishing,19:30:19
6,https://gocashpa.com/chf/rechung/index.html,SBB,19:30:17
7,https://hint456ofsaffron.ru/dfvc/1B2kQ9ZB3IYfqWYUzrgQXNpYQ==01-02-202305-51-53pm3803fe4e995ba53820d5309dd609ff4d2cc7b4d82702293091209e3ad38ed14aMUIya1E5WkIzSVlmcVdZVXpyZw==VUVzPQ==UGFraXN0YW4=VUVzPQ==1B2kQ9ZB3IYfqWYUzrg/?Key=1B2kQ9ZB3IYfqWYUzrgQXNpYQ==01-02-202305-51-53pm3803fe4e995ba53820d5309dd609ff4d2cc7b4d82702293091209e3ad38ed14aMUIya1E5WkIzSVlmcVdZVXpyZw==VUVzPQ==UGFraXN0YW4=VUVzPQ==1B2kQ9ZB3IYfqWYUzrg&rand=18PWDInboxLightnigcableaspxn_1B2kQ9ZB3IYfqWYUzrgQXNpYQ==01-02-202305-51-53pm3803fe4e995ba53820d5309dd609ff4d2cc7b4d82702293091209e3ad38ed14aMUIya1E5WkIzSVlmcVdZVXpyZw==VUVzPQ==UGFraXN0YW4=VUVzPQ==1B2kQ9ZB3IYfqWYUzrg_MUIya1E5WkIzSVlmcVdZVXpyZw==-&4910759db5ecbc852be43fc29b3abd9cd65e4bb38193c9cb805f18d1db2b1808=,Chase Personal Banking,19:29:48
8,http://5.252.176.20/,Banco Bradesco,19:29:11
9,https://raam220.github.io/Netflix-Clone/,Netflix Inc.,19:28:35
10,http://marsh-hissing-salamander.glitch.me/NFCUO0oONLINE.htm,Navy Federal Credit Union,19:28:26
11,http://btconnect-103876btconnectmail.weebly.com/,BT Group plc,19:28:17
12,https://navi47.com/?openid.ns=Ybsq7a38K4ZLHAdIGKBfPSrV6qSBZs&openid.mode=D0D79Wyn18kRhu8FJEsCx1S6xKB4U1&openid.return_to=XQ9C314HV06XuDzr2RhdE6mQiXclyj&openid.identity=zUtsAXH9OytammJy4wKqgzTxiJjKgg&openid.claimed_id=tqiTUCM17nzjkUKSlBpslEmot37mqZ,Steam,19:27:40
13,http://enterpricefarmacy.galwi8289.repl.co/,Banco Galicia,19:19:26
